workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
ycsb_aserver,500,0,0.0004614248800295312,3.373806835676896,1.2239394935876355
ycsb_aserver,1000,2,0.0,0.0,0.0
ycsb_bserver,250,2,0.0,4.8760986328125,0.05039967484080748
ycsb_bserver,500,1,0.0,0.0020987827060305023,0.0
ycsb_bserver,500,2,0.0,1.3857622565480188,0.0
ycsb_bserver,500,4,0.0,2.290512284370099,0.1831415499792042
ycsb_bserver,500,8,0.0,2.743377697376922,0.6673502871205906
ycsb_bserver,500,0,0.000888000888000888,3.1990557611330868,1.1472533405317857
ycsb_bserver,1000,2,0.0,0.0,0.0
ycsb_cserver,250,2,0.0,4.811918063314711,0.04383184011026878
ycsb_cserver,500,1,0.0,0.0011383039271485487,0.00014214641080312722
ycsb_cserver,500,2,0.0,1.3404605263157894,0.00014218683349921798
ycsb_cserver,500,4,0.0,2.254763491005996,0.16466431095406361
ycsb_cserver,500,8,0.0,2.714868958251021,0.6643483099179301
ycsb_cserver,500,0,0.0,3.1577439103816594,1.1155702661701834
ycsb_cserver,1000,2,0.0,0.0001421262080727686,0.0002841312686461145
ycsb_dserver,250,2,0.0,4.194849299561342,0.002813379180994061
ycsb_dserver,500,1,0.0,0.0004711795193968902,0.0
ycsb_dserver,500,2,0.0,0.9898773006134969,0.00031318509238960227
ycsb_dserver,500,4,0.0,1.911544227886057,0.05160281469898358
ycsb_dserver,500,8,0.0,2.371712969841034,0.5370112811002936
ycsb_dserver,500,0,0.0,2.8431774879085445,1.0143401983218916
ycsb_dserver,1000,2,0.0,0.0,0.0
ycsb_eserver,250,2,0.0,5.053759743237047,0.04643882076702322
ycsb_eserver,500,1,0.0,0.0018766756032171583,0.0
ycsb_eserver,500,2,0.0,1.4659397049390634,0.00013403029084573114
ycsb_eserver,500,4,0.0,2.3734367183591796,0.20587844128208538
ycsb_eserver,500,8,0.0,2.8325958702064895,0.6892847786219544
ycsb_eserver,500,0,0.0007493844342147521,3.2823059222477897,1.168542232570172
ycsb_eserver,1000,2,0.0,0.00040214477211796245,0.0
HIGH (17),250,2,0.0,6.819713159471952,0.9952890017892125
HIGH (17),500,1,0.0,0.9199234799458735,0.0004274404414401268
HIGH (17),500,2,0.0,2.5524899823261977,0.0615428371754088
HIGH (17),500,4,0.0,3.427291861606437,0.6747699328443483
HIGH (17),500,8,0.0,3.864208152735186,1.1465811691005565
HIGH (17),500,0,0.00016095554929937943,4.3024097127591565,1.619995948585959
HIGH (17),1000,2,0.0,0.4866361320195123,0.033571762558610996
MEDIUM (21),250,2,0.0,4.999652762671781,0.40960729731073475
MEDIUM (21),500,1,0.0,0.3471062132732315,6.350947009048449e-05
MEDIUM (21),500,2,0.0,1.5557492889855569,0.034053762000984
MEDIUM (21),500,4,0.0,2.401020727663556,0.33854354194585107
MEDIUM (21),500,8,0.0,2.8357848677658,0.7533275408013873
MEDIUM (21),500,0,0.00012157458443373574,3.279344425332016,1.2148391209606832
MEDIUM (21),1000,2,0.0,0.17884843210960494,0.02039680506418721
LOW (19),250,2,0.0,0.42853914403409304,0.018804750811396976
LOW (19),500,1,0.0,0.0063967094019069465,9.750199879097521e-06
LOW (19),500,2,0.0,0.06973003638880215,0.0004899466555901674
LOW (19),500,4,0.0,0.1712779792971447,0.011112077802211831
LOW (19),500,8,0.0,0.3254635746274785,0.04164098780887849
LOW (19),500,0,0.0,0.6348339630998806,0.22895380989317626
LOW (19),1000,2,0.0,0.0021256768323845744,3.921145758790719e-05
SPEC2K6 (23),250,2,0.0,4.480354136191038,0.6061907752611966
SPEC2K6 (23),500,1,0.0,0.6377032443760382,0.00037024753648051304
SPEC2K6 (23),500,2,0.0,1.6422042719573058,0.05985415308796827
SPEC2K6 (23),500,4,0.0,2.225903092741461,0.4522293776647248
SPEC2K6 (23),500,8,0.0,2.549615659650492,0.7448728291847868
SPEC2K6 (23),500,0,8.818852299581856e-05,2.9388152383839574,1.1112620123330097
SPEC2K6 (23),1000,2,0.0,0.33783042646048317,0.042422625599664324
SPEC2K17 (18),250,2,0.0,3.316926862657512,0.3847598397818678
SPEC2K17 (18),500,1,0.0,0.4056448222580336,2.4931222705631537e-06
SPEC2K17 (18),500,2,0.0,1.1577967295729574,0.020430429200104766
SPEC2K17 (18),500,4,0.0,1.6200692225726638,0.30029911356048467
SPEC2K17 (18),500,8,0.0,1.9225941038605743,0.532274474969669
SPEC2K17 (18),500,0,4.5827281449660256e-05,2.3089118676783698,0.8614622483732135
SPEC2K17 (18),1000,2,0.0,0.2112290136911031,0.001166280958121438
TPC (4),250,2,0.0,4.846308175335487,0.6049213012070336
TPC (4),500,1,0.0,0.21843290636588517,1.292190003618132e-05
TPC (4),500,2,0.0,1.6141247693342737,6.464389492531176e-05
TPC (4),500,4,0.0,2.3718936943297373,0.35910358121782476
TPC (4),500,8,0.0,2.792105927643859,0.7629363385713938
TPC (4),500,0,8.431832848875454e-05,3.241390553558382,1.2144608822275043
