workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
464.h264ref,500,1,0.9810658490059458,1.0,1.0
464.h264ref,500,2,0.9810658490059458,0.9989887979015785,1.0
464.h264ref,500,4,0.9810658490059458,0.9991620137301037,1.0
464.h264ref,500,8,0.9810658490059458,0.9990099348774428,0.9988242373302133
464.h264ref,500,0,0.9810658490059458,0.9985251574373263,0.9974618888484843
464.h264ref,1000,2,0.9810658490059458,1.0,1.0
470.lbm,250,2,0.8646256624825138,0.8267304787650415,1.0
470.lbm,500,1,0.8646256624825138,0.9772605524345017,1.0
470.lbm,500,2,0.8646256624825138,0.9299447231388516,0.990904688781201
470.lbm,500,4,0.8646256624825138,0.9075395837642353,0.9633872412937893
470.lbm,500,8,0.8646256624825138,0.8962008295804571,0.9502621058098176
470.lbm,500,0,0.8646256624825138,0.8850728718350296,0.9371315167895985
470.lbm,1000,2,0.8646256624825138,0.9881736356911883,1.0
471.omnetpp,250,2,0.8223874961207424,0.7564275435064233,0.9412504701887154
471.omnetpp,500,1,0.8223874961207424,0.9349530419361477,1.0
471.omnetpp,500,2,0.8223874961207424,0.8783357124197778,0.9970005642673526
471.omnetpp,500,4,0.8223874961207424,0.8604306031865592,0.9642139478507635
471.omnetpp,500,8,0.8223874961207424,0.8512601860937159,0.9338507940017582
471.omnetpp,500,0,0.8210633664054295,0.8334068065599894,0.8969032020706549
471.omnetpp,1000,2,0.8223874961207424,0.9706578273813057,1.0
473.astar,250,2,0.8756258276124855,0.8323550332732929,1.0
473.astar,500,1,0.8756258276124855,0.9915937867395936,1.0
473.astar,500,2,0.8756258276124855,0.9384417435881662,1.0
473.astar,500,4,0.8756258276124855,0.9121165960867774,0.980237139648012
473.astar,500,8,0.8756258276124855,0.9005445331237638,0.9653457162483813
473.astar,500,0,0.8756258276124855,0.8874522456049351,0.9504837807726754
473.astar,1000,2,0.8756258276124855,0.9967414722641363,1.0
481.wrf,250,2,0.9830338830183205,0.9979134866319765,0.9987485475018456
481.wrf,500,1,0.9830338830183205,1.0,1.0
481.wrf,500,2,0.9830338830183205,0.9997675920034065,1.0
481.wrf,500,4,0.9830338830183205,0.9991333328179595,1.0
481.wrf,500,8,0.9830338830183205,0.9990207473420879,0.9998483262685047
481.wrf,500,0,0.9830338830183205,0.9984174361852788,0.9994489564794009
481.wrf,1000,2,0.9830338830183205,1.0,1.0
482.sphinx3,250,2,0.6752259362813098,0.803057541827068,0.9153395086268206
482.sphinx3,500,1,0.6752259362813098,0.9612374166966514,0.9996256298455831
482.sphinx3,500,2,0.6752259362813098,0.9152099621734355,0.9982959340478009
482.sphinx3,500,4,0.6752259362813098,0.8937108934336486,0.9719921992157772
482.sphinx3,500,8,0.6752259362813098,0.8831271808549326,0.9589902558884916
482.sphinx3,500,0,0.6753733788257206,0.872981705656671,0.9438155154113653
482.sphinx3,1000,2,0.6752259362813098,0.9777847492276838,0.999559294603348
483.xalancbmk,250,2,0.759814382174182,0.7617382697009858,0.9226798932584285
483.xalancbmk,500,1,0.759814382174182,0.923440432473282,1.0
483.xalancbmk,500,2,0.759814382174182,0.8786576859327249,0.9814977219485592
483.xalancbmk,500,4,0.759814382174182,0.8614660235646436,0.9579303722444792
483.xalancbmk,500,8,0.759814382174182,0.8506422435114052,0.9455249982057287
483.xalancbmk,500,0,0.7600943059177505,0.8360765698887,0.9291525540590709
483.xalancbmk,1000,2,0.759814382174182,0.9625218985826797,0.9856604115452361
500.perlbench,250,2,0.9252441077291744,0.8908607825982094,1.0
500.perlbench,500,1,0.9252441077291744,0.9987869942593193,1.0
500.perlbench,500,2,0.9252441077291744,0.9717028967556095,0.9996652870160775
500.perlbench,500,4,0.9252441077291744,0.9473554534334139,0.9976559505818194
500.perlbench,500,8,0.9252441077291744,0.9346611746880099,0.9844100056356321
500.perlbench,500,0,0.9252441077291744,0.922581724038031,0.9697417243748697
500.perlbench,1000,2,0.9252441077291744,0.9995904852934364,1.0
502.gcc,250,2,0.911440922281357,0.9518851075522878,0.9997498180778496
502.gcc,500,1,0.911440922281357,0.9983069288498417,1.0
502.gcc,500,2,0.911440922281357,0.9876606500135592,1.0
502.gcc,500,4,0.911440922281357,0.9767019230094339,0.9882362849849691
502.gcc,500,8,0.911440922281357,0.971149381117474,0.9924696961705176
502.gcc,500,0,0.911440922281357,0.9648717964322636,0.9782046357224748
502.gcc,1000,2,0.911440922281357,1.0,1.0
