W,R,L,QTH,ABO_ACT,single_row_security_margin,TRH_D_margin,SHQ_entries,sampling_fraction,A_star,K_floor_star,X_win_star,N_per_row_star,p_m_analytical,TRH_D_base_analytical,TRH_D_analytical,p_m_simulated,TRH_D_base_simulated,TRH_D_margin_simulated,TRH_D_simulated,mc_target_appearances,mc_windows,mc_seeds
72,6,16,4,12,16,16,80,0.08333333333333333,405,2,5.625,1456,0.024305496134026897,728,744,0.024371574371574372,728,16,744,4444440,5000000,5
72,6,17,4,12,16,16,85,0.08333333333333333,422,2,5.861111111111111,1397,0.025462843963344566,698,714,0.02563534486800769,695,16,711,4265400,5000000,5
72,6,18,4,12,16,16,90,0.08333333333333333,342,3,4.75,1724,0.027777539621979958,678,694,0.02773013525157439,679,16,695,5263155,5000000,5
72,6,19,4,12,16,16,95,0.08333333333333333,360,3,5.0,1638,0.027777539621979958,675,691,0.0277422,675,16,691,5000000,5000000,5
72,6,20,4,12,16,16,100,0.08333333333333333,378,3,5.25,1560,0.027777539621979958,671,687,0.02775086861245657,672,16,688,4761905,5000000,5
72,6,21,4,12,16,16,105,0.08333333333333333,396,3,5.5,1489,0.027777539621979958,667,683,0.027854667854667853,665,16,681,4545450,5000000,5
72,6,22,4,12,16,16,110,0.08333333333333333,414,3,5.75,1424,0.027777539621979958,662,678,0.02768763692190923,663,16,679,4347825,5000000,5
72,6,23,4,12,16,16,115,0.08333333333333333,432,3,6.0,1365,0.027777539621979958,655,671,0.027713977828817737,656,16,672,4166670,5000000,5
72,6,24,4,12,16,16,120,0.08333333333333333,450,3,6.25,1310,0.027777539621979958,646,662,0.027793,646,16,662,4000000,5000000,5
72,6,25,4,12,16,16,125,0.08333333333333333,466,3,6.472222222222222,1265,0.028163273911407185,632,648,0.02822407356588465,631,16,647,3862660,5000000,5
72,7,5,4,12,16,16,30,0.09722222222222222,216,1,3.0,2730,0.021272854949095227,892,908,0.02122943575411285,893,16,909,8333335,5000000,5
72,7,6,4,12,16,16,36,0.09722222222222222,252,1,3.5,2340,0.021272854949095227,884,900,0.02121602636480791,886,16,902,7142855,5000000,5
72,7,7,4,12,16,16,42,0.09722222222222222,288,1,4.0,2048,0.021272854949095227,874,890,0.02125488,875,16,891,6250000,5000000,5
72,7,8,4,12,16,16,48,0.09722222222222222,324,1,4.5,1820,0.021272854949095227,857,873,0.021235322123532213,859,16,875,5555555,5000000,5
72,7,9,4,12,16,16,54,0.09722222222222222,358,1,4.972222222222222,1647,0.021616294584511385,821,837,0.021661200533818092,820,16,836,5027930,5000000,5
72,7,10,4,12,16,16,60,0.09722222222222222,385,1,5.347222222222222,1532,0.023161772943884024,766,782,0.023343190045611802,763,16,779,4675325,5000000,5
72,7,11,4,12,16,16,66,0.09722222222222222,411,1,5.708333333333333,1435,0.02487897112096472,715,731,0.02502622977396157,713,16,729,4379565,5000000,5
72,7,12,4,12,16,16,72,0.09722222222222222,312,2,4.333333333333333,1890,0.02745476838658577,689,705,0.027462590328345377,689,16,705,5769230,5000000,5
72,7,13,4,12,16,16,78,0.09722222222222222,336,2,4.666666666666667,1755,0.02745476838658577,686,702,0.027409189036324385,687,16,703,5357145,5000000,5
72,7,14,4,12,16,16,84,0.09722222222222222,360,2,5.0,1638,0.027454768386585775,682,698,0.0273962,683,16,699,5000000,5000000,5
72,7,15,4,12,16,16,90,0.09722222222222222,384,2,5.333333333333333,1536,0.02745476838658577,677,693,0.02743253333333333,677,16,693,4687500,5000000,5
72,7,16,4,12,16,16,96,0.09722222222222222,408,2,5.666666666666667,1445,0.02745476838658577,670,686,0.027570371495308568,668,16,684,4411765,5000000,5
72,7,17,4,12,16,16,102,0.09722222222222222,432,2,6.0,1365,0.027454768386585775,661,677,0.027427658057873554,661,16,677,4166670,5000000,5
72,7,18,4,12,16,16,108,0.09722222222222222,456,2,6.333333333333333,1293,0.02745476838658577,646,662,0.027220909111636354,646,16,662,3947370,5000000,5
72,7,19,4,12,16,16,114,0.09722222222222222,474,2,6.583333333333333,1244,0.028767572235428886,620,636,0.02885157749764975,619,16,635,3797470,5000000,5
72,7,20,4,12,16,16,120,0.09722222222222222,493,2,6.847222222222222,1196,0.02986157544279812,597,613,0.03009245121010979,594,16,610,3651115,5000000,5
72,7,21,4,12,16,16,126,0.09722222222222222,396,3,5.5,1489,0.032705983781958214,577,593,0.032762212762212764,576,16,592,4545450,5000000,5
72,7,22,4,12,16,16,132,0.09722222222222222,414,3,5.75,1424,0.032705983781958214,575,591,0.032735218183804544,575,16,591,4347825,5000000,5
72,7,23,4,12,16,16,138,0.09722222222222222,432,3,6.0,1365,0.032705983781958214,573,589,0.03270933383253293,573,16,589,4166670,5000000,5
72,7,24,4,12,16,16,144,0.09722222222222222,450,3,6.25,1310,0.032705983781958214,570,586,0.03273725,570,16,586,4000000,5000000,5
72,7,25,4,12,16,16,150,0.09722222222222222,468,3,6.5,1260,0.032705983781958214,567,583,0.032775112775112775,566,16,582,3846150,5000000,5
72,8,5,4,12,16,16,35,0.1111111111111111,216,1,3.0,2730,0.023611111068159996,808,824,0.023610715277856943,808,16,824,8333335,5000000,5
72,8,6,4,12,16,16,42,0.1111111111111111,252,1,3.5,2340,0.023611111068159996,803,819,0.02365230709569213,801,16,817,7142855,5000000,5
72,8,7,4,12,16,16,49,0.1111111111111111,288,1,4.0,2048,0.023611111068159996,796,812,0.02362624,796,16,812,6250000,5000000,5
